Date,Hosp Census,Hosp Ever
16-Mar-2020,6,9
17-Mar-2020,7,10
18-Mar-2020,13,21
19-Mar-2020,17,30
20-Mar-2020,22,34
21-Mar-2020,27,41
22-Mar-2020,33,60
23-Mar-2020,40,83
24-Mar-2020,59,96
25-Mar-2020,64,107
26-Mar-2020,66,110
27-Mar-2020,73,123
28-Mar-2020,81,144
29-Mar-2020,93,158
30-Mar-2020,106,175
31-Mar-2020,128,204
01-Apr-2020,142,225
02-Apr-2020,149,244
03-Apr-2020,146,263
04-Apr-2020,149,273
05-Apr-2020,137,279
06-Apr-2020,140,290
07-Apr-2020,138,298
08-Apr-2020,135,309
09-Apr-2020,132,317
10-Apr-2020,128,324
11-Apr-2020,134,330
12-Apr-2020,135,336
13-Apr-2020,137,343
14-Apr-2020,134,349
