Date,BC,ICU Census,new_icu_confirmed
22/01/2020,0,,
23/01/2020,0,,
24/01/2020,0,,
25/01/2020,0,,
26/01/2020,0,,
27/01/2020,0,,
28/01/2020,1,,
29/01/2020,1,,
30/01/2020,1,,
31/01/2020,1,,
1/2/2020,1,,
2/2/2020,1,,
3/2/2020,1,,
4/2/2020,1,,
5/2/2020,2,,
6/2/2020,2,,
7/2/2020,4,,
8/2/2020,4,,
9/2/2020,4,,
10/2/2020,4,,
11/2/2020,4,,
12/2/2020,4,,
13/02/2020,4,,
14/02/2020,4,,
15/02/2020,4,,
16/02/2020,4,,
17/02/2020,5,,
18/02/2020,5,,
19/02/2020,5,,
20/02/2020,5,,
21/02/2020,6,,
22/02/2020,6,,
23/02/2020,6,,
24/02/2020,6,,
25/02/2020,7,,
26/02/2020,7,,
27/02/2020,7,,
28/02/2020,7,,
29/02/2020,8,,
1/3/2020,8,,
2/3/2020,8,,
3/3/2020,9,,
4/3/2020,12,,
5/3/2020,13,,
6/3/2020,21,,
7/3/2020,21,,
8/3/2020,27,,
9/3/2020,32,,
10/3/2020,32,,
11/3/2020,39,,
12/3/2020,46,,
13/03/2020,64,,
14/03/2020,73,,
15/03/2020,95,,
16/03/2020,133,,
17/03/2020,186,4,
18/03/2020,231,7,
19/03/2020,271,9,
20/03/2020,348,10,
21/03/2020,424,12,
22/03/2020,472,14,
23/03/2020,539,29,
24/03/2020,617,31,
25/03/2020,659,49,15
26/03/2020,725,48,6
27/03/2020,792,56,12
28/03/2020,884,57,1
29/03/2020,900,56,2
30/03/2020,970,62,4
31/03/2020,1013,62,2
1/4/2020,1066,67,8
2/4/2020,1121,68,7
3/4/2020,1174,64,2
4/4/2020,1203,68,4
5/4/2020,1229,70,4
6/4/2020,1266,72,2
7/4/2020,1291,67,
8/4/2020,1336,62,
